,Tweet
0,"Union Health Ministry @MoHFW_INDIA announces ambitious “75/25” initiative- 75 million people with hypertension and diabetes to be put on Standard Care by 2025, through the PHCs
#Health #G20 #G20India #G20Summit #BJP #Modi https://t.co/A1DMgd3ljQ"
1,"Friday evening was spent discussing the changed approach to #diabetes management 

Focus on protecting #heart and #kidney is essential to all methods of treating diabetes

Agents like SGLT2i and GLP1Ra s now make it possible to provide better care.

Excellent deliberations by… https://t.co/8zIXkBunIl https://t.co/YBMUtx7PdZ"
2,"HR for devel hyperglycemia among COVID19-positive vs COVID19-negative was 2.27; After adjustment for sex, age, gender, BMI, diabetes, corticosteroid use-HR of 2.89 &amp; additional adjustment for SOFA score HR of 2.62; corticosteroid-naïve with an adjusted HR: 2.45"
3,"Non Sugar Sweeteners ( NSS ) present in most of the products labeled as ""zero calories or zero sugar"" like diet coke which are marketed as a safe alternative to sugar to prevent diabetes, cardiac disease, etc, are increasing the risk of diabetes, cardiova…https://t.co/PTVqOswtJP"
4,"At 8 weeks post delivery. With secondary infertility, conceived on letrozole &amp; HMG with IUI (intrauterine insemination). Developed gestational diabetes, started on insulin but good antenatal care lead to a healthy outcome for mother &amp; baby
#highriskpregnancy #secondaryinfertility https://t.co/UB9E34U7j2"
5,"Check out SuperFoods that Prevent and Fight Diabetes and add to your diet now-

https://t.co/v2q4joGw9p

#diabetes @BloggerAlliance @bloggernation @_TeamBlogger https://t.co/B2Hjdi6KLa"
6,Check Out How to Cure Diabetes Naturally in 30 Days https://t.co/KH37lbS4yC https://t.co/mla2UPQpOo
7,"A thorough analysis of WHO advisory on non-sugar (artificial) #sweeteners by Maitri Porecha @dawalelo 
@the_hindu 
We had a lengthy phone conversation- I have tried to contribute based on my understanding!
#diabetes #sugar @WHO 
https://t.co/KZwHLdzG7x"
8,Two-weekly self-monitoring of blood glucose okay for monitoring women with lifestyle-controlled gestational diabetes @IJGOLive #InternationalJournalofGynecology&amp;Obstetrics #self-monitoringofbloodglucose #gestationaldiabetes #HbA1c https://t.co/BLN1QV19it
9,Mango Vs Whole Wheat Roti | Which is healthy for diabetes &amp; Weight loss ... https://t.co/5ZgStN1uTy via @YouTube #medd  #medical #medicine #doctor #health #healthcare #hospital #nurse #medlife #medtwitter
10,"Have diabetes? Start your day with these amazing drinks to control blood sugar levels

https://t.co/rh7beaM8wL"
11,"Thank you for sharing this important information about the rights of people with diabetes under the IRDAI guidelines. 

This information is very helpful for people with diabetes who are applying for health insurance or who have had their claims rejected. https://t.co/UVjbv11F8t"
12,"Increased cardiovascular and pulmonary (heart and lung) fitness.
Reduced risk of heart disease and stroke. Improved management of conditions such as hypertension (high blood pressure), high cholesterol, joint and muscular pain or stiffness, and diabetes. https://t.co/0kP0LRGQb9"
13,X: XX v/s XY in Diabetes #BlogchatterA2Z https://t.co/CbI48SbYHk on @bloglovin
14,"Uncover the secret to optimizing your meal choices with this practical approach. It's important to prioritize non-starchy vegetables and lean proteins while moderating high-carb foods for balanced blood sugar levels.

#diabetes #diabetesmanagement #beato #bloodsugarlevels #beato https://t.co/HXl9hbi63p"
15,"Get coverage for health conditions like cholesterol, hypertension and diabetes with the right health insurance. I can help you with it. https://t.co/ljOvNBjOJa"
16,"Dipika Kakar Opens About Developing Gestational Diabetes During Her Pregnancy; Know Causes, Symptoms And Treatment
#diabetes #dipikakakar
Read:
https://t.co/hwaSOeCiUB https://t.co/v5URvZG9lh"
17,Excellently written by @MalathyIyerTOI . carries my quote. Our special issue on AI in #diabetes and #metabolic diseases is ongoing https://t.co/QUvLOXBUDl
18,"Adverse work conditions increasing the risk of NCD’s like diabetes &amp; heart ailments for Bengaluru’s app-based cab drivers. Flags need for regular health checkups &amp; coverage for this category. Currently no govt or workplace health schemes cover them

https://t.co/0pLz1Q0QOj"
19,"Non-Communicable Diseases are claiming more lives than ever before.  #NCDs #GlobalHealth #PublicHealth #HeartDisease #Cancer #RespiratoryDisease #Diabetes #HealthStatistics
#Prevention #HealthEducation #HealthyLifestyle
#Healthcare #Wellness @WHO"
20,"diabetes is a chronic metabolic inflammatory disorder that activates serine kinases and leads to insulin resistance;Prolonged diabetes and fluctuations in blood glucose ⬆️ endothelial damage, cardiovascular complications ⬆️risk of developing pulmonary artery pseudoaneurysms."
21,"So soft and sweet...i'll die from diabetes 😭😭

#MarryMeOUTNOW https://t.co/0UZhho1P3s"
22,"💥Give a read to ""Managing diabetes  in Peritoneal dialysis pts"" on this weekend 
⚡️Happy to contribute to this tweetorial for @KIReports, Recommendations from recent article👇👇

@ISNkidneycare @ISNeducation 

#NephTwitter 
🔥#Tweetorial alert🔥 https://t.co/fzDnlg6Gpt"
23,"A hands-on guide of all health tests.

#health #healthtest #diabetes #cholesterol https://t.co/AG0WF946Fg"
24,"""YOUR HEALTH IS OUR TOP PRIORITY""
Visit today for Best Consultation.
.
.
Contact us:-
 +91-8287026306,
 +91-8287026302
 Visit:- 
https://t.co/C2oCsYFJB5
.
.
#physician #doctor #weightgain #heartdisease #diabetes #regularcheck #sugar #diabetescare #signs #stayaware #healthcare https://t.co/5XYvYQn4kG"
25,"Avoid juices, smoothies or desserts made with muskmelon, as these can be very high in calories and contain a high amount of sugar, said Rutu Dhodapkar, Dietetics Team, P D Hinduja Hospital &amp; Medical Research Centre, Khar

https://t.co/N9f7FPEfaY"
26,"GLUCO ONE (BG-03)25           25
COMPANY : DR MOREPAN
M.R.P :   499.00
R.RATE : 400.00
GLUCO ONE BG-03 is a type of blood glucose monitoring system used by people with diabetes to measure their blood sugar levels. 
#wholesalers
#suppliers
#importers
#medicine
#retailer
#retailers https://t.co/JlfF38O3m8"
